layer,entropy,kti,erank
0,4.505227565765381,0.0009152895399893168,30.539116859436035
1,4.291581153869629,0.0034708310704445466,129.825439453125
2,3.610425114631653,0.0017329314287053421,135.60054779052734
3,3.351249933242798,0.002170316278352402,131.8244400024414
4,3.7951321601867676,0.002100475805491442,98.52849960327148
5,3.0029726028442383,0.0033323913376079872,134.7910614013672
6,2.849493384361267,0.0044560021633515134,144.54994201660156
7,2.592397928237915,0.005961903516435996,137.23409271240234
8,3.0514312982559204,0.005007644227589481,157.19265747070312
9,2.913593292236328,0.001771130358974915,124.4752197265625
10,2.52214252948761,0.004852911224588752,121.04328918457031
11,3.3142781257629395,0.002602579683298245,101.8842544555664
12,3.3728857040405273,0.0030571482129744254,114.71464538574219
13,3.6820470094680786,0.0016580252668063622,69.39788436889648
14,3.8151063919067383,0.0012725734486593865,66.65280151367188
15,3.7866714000701904,0.0011513602003105916,58.503787994384766
16,2.6161184310913086,0.002889661438530311,91.1812629699707
17,2.562677025794983,0.0027018081964342855,90.17803955078125
18,2.6479122638702393,0.0025884922361001372,92.2685775756836
19,2.61530077457428,0.002709163600229658,90.35623168945312
20,2.5829731225967407,0.002736713911872357,91.16961669921875
21,2.5964564085006714,0.00263386240840191,94.36431503295898
22,2.6846764087677,0.002441670651023742,95.82725524902344
23,2.553651452064514,0.002444381323584821,92.47864532470703
24,2.667738199234009,0.0025685094951768406,93.03434753417969
25,2.6206934452056885,0.0024421289053861983,89.7967758178711
26,2.7408143281936646,0.0024164932328858413,96.35899353027344
27,2.670945882797241,0.00236030879750615,91.55509948730469
28,2.692821979522705,0.002238111905171536,92.65495300292969
29,2.673657536506653,0.002093967119435547,91.34705352783203
30,2.753061890602112,0.0019503883704601321,94.40359878540039
31,2.789900541305542,0.0020112956408411264,98.71809387207031
