Group,Layer,KTI,Entropy,Rank
T2-KTI-Adaptive,0,0.00047527676525909856,4.626826763153076,0.0
T2-KTI-Adaptive,1,0.001517025462454127,4.392390251159668,0.0
T2-KTI-Adaptive,2,0.0009162561124948141,3.661454677581787,0.0
T2-KTI-Adaptive,3,0.0011964980100850101,3.3849077224731445,0.0
T2-KTI-Adaptive,4,0.0012657105987416673,3.8181862831115723,0.0
T2-KTI-Adaptive,5,0.0022135759820873496,3.0245754718780518,0.0
T2-KTI-Adaptive,6,0.0028229275631850193,2.834308385848999,0.0
T2-KTI-Adaptive,7,0.0036239278735960847,2.692650556564331,0.0
T2-KTI-Adaptive,8,0.0030261457948200015,3.200742721557617,0.0
T2-KTI-Adaptive,9,0.0012014854013068263,3.195115089416504,0.0
T2-KTI-Adaptive,10,0.0027801466168629863,2.768423557281494,0.0
T2-KTI-Adaptive,11,0.0014341287188856093,3.68001651763916,0.0
T2-KTI-Adaptive,12,0.0017534019679472112,3.622105121612549,0.0
T2-KTI-Adaptive,13,0.0008312044413324504,3.939378261566162,0.0
T2-KTI-Adaptive,14,0.0008007656692743809,4.079269886016846,0.0
T2-KTI-Adaptive,15,0.0007723020830135538,3.9001195430755615,0.0
T2-KTI-Adaptive,16,0.0006421704283255308,4.093569278717041,0.0
T2-KTI-Adaptive,17,0.0008212374131909911,3.806480646133423,0.0
T2-KTI-Adaptive,18,0.0006231282228838879,4.09306526184082,0.0
T2-KTI-Adaptive,19,0.0007524220421764441,3.8925540447235107,0.0
T2-KTI-Adaptive,20,0.0006998018202146361,3.9031004905700684,0.0
T2-KTI-Adaptive,21,0.0007369298595238408,3.890411615371704,0.0
T2-KTI-Adaptive,22,0.0005839945386739889,4.066412448883057,0.0
T2-KTI-Adaptive,23,0.0005676905045910251,3.846768379211426,0.0
T2-KTI-Adaptive,24,0.0006700668198456314,3.944948196411133,0.0
T2-KTI-Adaptive,25,0.0005107804575135015,4.003480911254883,0.0
T2-KTI-Adaptive,26,0.00048451291249610145,4.198389530181885,0.0
T2-KTI-Adaptive,27,0.0004947120077717218,4.10814094543457,0.0
T2-KTI-Adaptive,28,0.00048659137990423603,4.1698431968688965,0.0
T2-KTI-Adaptive,29,0.00047180447983230734,4.136434078216553,0.0
T2-KTI-Adaptive,30,0.0004150519684453151,4.347106456756592,0.0
T2-KTI-Adaptive,31,0.0003757061686284646,4.427910327911377,0.0
