Group,Occlusion,MPJPE,PA-MPJPE
Control,0.0,93.600830975033,57.81673764993274
T2-Static-Mid,0.0,97.5257949374971,59.56057817216904
T2-Static-Late,0.0,97.33549441231622,57.266625850919695
T2-A-S-Baseline,0.0,94.64716212333197,58.2144574343212
T2-A-H-Baseline,0.0,90.02842042559669,56.99940897358788
T2-KTI-Adaptive,0.0,94.90902593400745,58.57665416361794
Control,0.2,96.30874271619888,59.39919378643944
T2-Static-Mid,0.2,100.3618720221141,61.55539180362035
T2-Static-Late,0.2,100.26948853523012,59.158489575461736
T2-A-S-Baseline,0.2,98.3461688624488,60.55340424605778
T2-A-H-Baseline,0.2,94.1729581772335,59.66123638645051
T2-KTI-Adaptive,0.2,99.15139152511718,60.81452845202552
Control,0.4,104.93183940932865,66.2396052129685
T2-Static-Mid,0.4,112.9852864023239,69.92421197512793
T2-Static-Late,0.4,109.48904780736044,66.78297798028068
T2-A-S-Baseline,0.4,112.8049053956592,69.77409225796896
T2-A-H-Baseline,0.4,109.80200797792465,69.60536719503857
T2-KTI-Adaptive,0.4,113.28050182357669,70.72293715060704
Control,0.5,118.1621448123266,74.21613809419057
T2-Static-Mid,0.5,128.1527687254406,78.71296979699817
T2-Static-Late,0.5,122.14422084036327,74.75261990986174
T2-A-S-Baseline,0.5,131.6556468237014,79.72241544155847
T2-A-H-Baseline,0.5,126.6820879512363,78.57388998024048
T2-KTI-Adaptive,0.5,129.55593149245732,79.32220479609474
